"filename", "language", "C#", "JSON", "ShaderLab", "HLSL", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\Malbers Animations\Common\Shaders\DragonEggs_Shader.shader", "ShaderLab", 0, 0, 64, 0, 0, 0, 0, 44, 4, 112
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\Malbers Animations\Common\Shaders\Fur.shader", "ShaderLab", 0, 0, 217, 0, 0, 0, 0, 143, 6, 366
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\Malbers Animations\Common\Shaders\Golem Shader.shader", "ShaderLab", 0, 0, 99, 0, 0, 0, 0, 93, 4, 196
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\Malbers Animations\Common\Shaders\MWater2.shader", "ShaderLab", 0, 0, 88, 0, 0, 0, 0, 83, 7, 178
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\Malbers Animations\Common\Shaders\Mask4Realistic.shader", "ShaderLab", 0, 0, 115, 0, 0, 0, 0, 155, 8, 278
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\Malbers Animations\Common\Shaders\Mask4Toon.shader", "ShaderLab", 0, 0, 92, 0, 0, 0, 0, 129, 9, 230
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\Malbers Animations\Common\Shaders\Mask8Realistic.shader", "ShaderLab", 0, 0, 160, 0, 0, 0, 0, 274, 8, 442
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\Malbers Animations\Common\Shaders\Mask8Toon.shader", "ShaderLab", 0, 0, 126, 0, 0, 0, 0, 239, 9, 374
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\Malbers Animations\Common\Shaders\SimpleOutline.shader", "ShaderLab", 0, 0, 70, 0, 0, 0, 0, 22, 10, 102
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\Malbers Animations\Common\Shaders\Wind Shader.shader", "ShaderLab", 0, 0, 74, 0, 0, 0, 0, 70, 7, 151
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\PolygonDog\Scripts\POLYGON_CameraController.cs", "C#", 43, 0, 0, 0, 0, 0, 0, 13, 0, 56
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\PolygonDog\Scripts\POLYGON_DogAnimationController.cs", "C#", 461, 0, 0, 0, 0, 0, 0, 10, 2, 473
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\PolygonDog\Scripts\POLYGON_DogPrefabs.cs", "C#", 283, 0, 0, 0, 0, 0, 0, 13, 1, 297
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Common\Common_AnimSpeed.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 2, 5, 27
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Common\Common_AnimationControl.cs", "C#", 39, 0, 0, 0, 0, 0, 0, 2, 12, 53
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Common\Common_KillSwitch.cs", "C#", 19, 0, 0, 0, 0, 0, 0, 2, 8, 29
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Common\Common_PlaySound.cs", "C#", 70, 0, 0, 0, 0, 0, 0, 0, 8, 78
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Common\Common_RandomInt.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 17, 10, 43
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Common\RandomCharacterPlacer.cs", "C#", 40, 0, 0, 0, 0, 0, 0, 0, 8, 48
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Common\Wander Script\AIState.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Common\Wander Script\AIStats.cs", "C#", 26, 0, 0, 0, 0, 0, 0, 0, 9, 35
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Common\Wander Script\Common_AudioManager.cs", "C#", 83, 0, 0, 0, 0, 0, 0, 0, 14, 97
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Common\Wander Script\Common_SurfaceRotation.cs", "C#", 54, 0, 0, 0, 0, 0, 0, 0, 11, 65
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Common\Wander Script\Common_WanderManager.cs", "C#", 67, 0, 0, 0, 0, 0, 0, 0, 9, 76
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Common\Wander Script\Common_WanderScript.cs", "C#", 813, 0, 0, 0, 0, 0, 0, 17, 131, 961
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Common\Wander Script\Editor\Common_StatsTable.cs", "C#", 291, 0, 0, 0, 0, 0, 0, 9, 95, 395
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Common\Wander Script\Editor\Common_WanderManagerEditor.cs", "C#", 36, 0, 0, 0, 0, 0, 0, 1, 7, 44
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Common\Wander Script\Editor\Common_WanderScriptEditor.cs", "C#", 112, 0, 0, 0, 0, 0, 0, 15, 37, 164
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Common\Wander Script\IdleState.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Common\Wander Script\MovementState.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Animated Dinos\- Scripts\Wander Script\Dino_AIStats.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Animated Dinos\- Scripts\Wander Script\Dino_AudioManager.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Animated Dinos\- Scripts\Wander Script\Dino_SurfaceRotation.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Animated Dinos\- Scripts\Wander Script\Dino_WanderManager.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Animated Dinos\- Scripts\Wander Script\Dino_WanderScript.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Animated Dinos\- Scripts\Wander Script\Editor\Dino_StatsTable.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Animated Dinos\- Scripts\Wander Script\Editor\Dino_WanderManagerEditor.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Animated Dinos\- Scripts\Wander Script\Editor\Dino_WanderScriptEditor.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Animated Dinos\- Scripts\Wander Script\Editor\PrehistoricAnimals_WanderScriptEditor.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Animated People\- Materials\Simple Water\SimpleWater.cs", "C#", 57, 0, 0, 0, 0, 0, 0, 0, 9, 66
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Animated People\- Materials\Simple Water\SimpleWater.shader", "ShaderLab", 0, 0, 110, 0, 0, 0, 0, 6, 24, 140
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Animated People\- UI\TextShader.shader", "ShaderLab", 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Prehistoric Animals\- Scripts\Camera\PeriodicShake.cs", "C#", 45, 0, 0, 0, 0, 0, 0, 1, 15, 61
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Prehistoric Animals\- Scripts\Demo scene\AnimalButton.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 9, 46
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Prehistoric Animals\- Scripts\Demo scene\AnimalViewer.cs", "C#", 124, 0, 0, 0, 0, 0, 0, 5, 34, 163
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Prehistoric Animals\- Scripts\Demo scene\AnimationControl.cs", "C#", 33, 0, 0, 0, 0, 0, 0, 0, 8, 41
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Prehistoric Animals\- Scripts\Demo scene\PanelControl.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Prehistoric Animals\- Scripts\Demo scene\PlaySound.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Prehistoric Animals\- Scripts\RandomAnimalPlacer.cs", "C#", 40, 0, 0, 0, 0, 0, 0, 0, 8, 48
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Prehistoric Animals\- Scripts\Wander Script\PrehistoricAnimals_AIStats.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Prehistoric Animals\- Scripts\Wander Script\PrehistoricAnimals_AudioManager.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Prehistoric Animals\- Scripts\Wander Script\PrehistoricAnimals_SurfaceRotation.cs", "C#", 54, 0, 0, 0, 0, 0, 0, 0, 11, 65
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Prehistoric Animals\- Scripts\Wander Script\PrehistoricAnimals_WanderManager.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Ogi\Low Poly Assets\polyperfect\Low Poly Prehistoric Animals\- Scripts\Wander Script\PrehistoricAnimals_WanderScript.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Behaviors\AIDestinationSetter.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 15, 5, 40
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Behaviors\Patrol.cs", "C#", 32, 0, 0, 0, 0, 0, 0, 16, 12, 60
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 1894, 0, 0, 0, 105, 1999
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\AI\AIBase.cs", "C#", 366, 0, 0, 0, 0, 0, 0, 317, 104, 787
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\AI\AILerp.cs", "C#", 351, 0, 0, 0, 0, 0, 0, 243, 108, 702
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\AI\AIPath.cs", "C#", 226, 0, 0, 0, 0, 0, 0, 216, 78, 520
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\AI\IAstarAI.cs", "C#", 31, 0, 0, 0, 0, 0, 0, 336, 26, 393
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\AI\NavmeshController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\AI\RichAI.cs", "C#", 285, 0, 0, 0, 0, 0, 0, 197, 95, 577
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\AI\RichPath.cs", "C#", 583, 0, 0, 0, 0, 0, 0, 158, 156, 897
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\AI\Seeker.cs", "C#", 225, 0, 0, 0, 0, 0, 0, 304, 74, 603
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\AI\TurnBasedAI.cs", "C#", 19, 0, 0, 0, 0, 0, 0, 3, 4, 26
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\AstarData.cs", "C#", 413, 0, 0, 0, 0, 0, 0, 228, 109, 750
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\AstarMath.cs", "C#", 799, 0, 0, 0, 0, 0, 0, 484, 248, 1531
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\AstarPath.cs", "C#", 849, 0, 0, 0, 0, 0, 0, 1014, 306, 2169
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\GraphUpdateScene.cs", "C#", 209, 0, 0, 0, 0, 0, 0, 132, 58, 399
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\GraphUpdateShape.cs", "C#", 96, 0, 0, 0, 0, 0, 0, 32, 16, 144
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\AnimationLink.cs", "C#", 98, 0, 0, 0, 0, 0, 0, 1, 24, 123
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\ArrayPool.cs", "C#", 112, 0, 0, 0, 0, 0, 0, 68, 19, 199
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\AstarDebugger.cs", "C#", 233, 0, 0, 0, 0, 0, 0, 35, 77, 345
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\AutoRepathPolicy.cs", "C#", 45, 0, 0, 0, 0, 0, 0, 41, 15, 101
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\BinaryHeap.cs", "C#", 191, 0, 0, 0, 0, 0, 0, 82, 52, 325
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\Draw.cs", "C#", 71, 0, 0, 0, 0, 0, 0, 1, 20, 92
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\EditorResourceHelper.cs", "C#", 80, 0, 0, 0, 0, 0, 0, 10, 16, 106
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\GraphEditorBase.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 2, 2, 11
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\GraphModifier.cs", "C#", 119, 0, 0, 0, 0, 0, 0, 57, 29, 205
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\GraphUpdateProcessor.cs", "C#", 242, 0, 0, 0, 0, 0, 0, 65, 63, 370
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\GraphUtilities.cs", "C#", 146, 0, 0, 0, 0, 0, 0, 100, 26, 272
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\HierarchicalGraph.cs", "C#", 222, 0, 0, 0, 0, 0, 0, 77, 48, 347
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\Int3.cs", "C#", 220, 0, 0, 0, 0, 0, 0, 32, 63, 315
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\ListPool.cs", "C#", 115, 0, 0, 0, 0, 0, 0, 74, 23, 212
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\MovementUtilities.cs", "C#", 71, 0, 0, 0, 0, 0, 0, 77, 27, 175
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\NodeLink.cs", "C#", 116, 0, 0, 0, 0, 0, 0, 16, 26, 158
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\NodeLink2.cs", "C#", 220, 0, 0, 0, 0, 0, 0, 32, 57, 309
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\NodeLink3.cs", "C#", 228, 0, 0, 0, 0, 0, 0, 18, 68, 314
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\ObjectPool.cs", "C#", 65, 0, 0, 0, 0, 0, 0, 56, 11, 132
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\PathInterpolator.cs", "C#", 144, 0, 0, 0, 0, 0, 0, 27, 36, 207
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\PathPool.cs", "C#", 65, 0, 0, 0, 0, 0, 0, 11, 13, 89
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\PathProcessor.cs", "C#", 337, 0, 0, 0, 0, 0, 0, 137, 110, 584
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\PathReturnQueue.cs", "C#", 42, 0, 0, 0, 0, 0, 0, 20, 12, 74
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\StackPool.cs", "C#", 46, 0, 0, 0, 0, 0, 0, 40, 13, 99
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\ThreadControlQueue.cs", "C#", 181, 0, 0, 0, 0, 0, 0, 66, 45, 292
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\WindowsStoreCompatibility.cs", "C#", 111, 0, 0, 0, 0, 0, 0, 15, 23, 149
"c:\Users\Aleksa Petrovic\UnityProjects\NewUnityProjects\AnimalRescue3D\Assets\_Game\Plugins\AstarPathfindingProject\Core\Misc\WorkItemProcessor.cs", "C#", 167, 0, 0, 0, 0, 0, 0, 129, 43, 339
